Comment ID	Gene ID	Database	Organism	Headline	Content	Comment Date	Categories	Author First Name	Author Last Name	Author Organization	Author User ID	Review Status	Conceptual	PubMed IDs	PubMed Titles	PubMed Journals	PubMed Authors	Related Stable IDs	Digital Object IDs	Project Name	Project Version	External Database	External Database Version	Location Reverse	Location Coordinate Type	GenBank Accessions	Target ID	Target Type	Location Start	Location End
100236843	AAEL007691	VectorBase	Aedes aegypti	EcI-2	"Indispensable for ecdysone-mediated development.

"	25/10/2022 14:12	"Name/Product, Function, Expression"	Cornell University	Hixson	Cornell University	617598113	unknown	FALSE	35696563	Essential functions of mosquito ecdysone importers in development and reproduction.	Proc Natl Acad Sci U S A 2022 Jun 21;119(25):e2202932119	Hun et al.			VectorBase	59	aaegLVP_AGWG_primary_genome_RSRC	AaegL5	FALSE	genome		AAEL007691	gene	250658410	250721733
100218193	AAEL007818	VectorBase	Aedes aegypti	Early Trypsin (ET)	Transcribed in midgut during post-eclosion maturation under control of juvenile hormone	12/08/2021 02:23	Name/Product	Cornell University	Hixson	Cornell University	617598113	unknown	FALSE	33901693	E93 confers steroid hormone responsiveness of digestive enzymes to promote blood meal digestion in the midgut of the mosquito Aedes aegypti.	Insect Biochem Mol Biol 2021 Jul;134():103580	He et al.			VectorBase	53	aaegLVP_AGWG_primary_genome_RSRC	AaegL5	FALSE	genome		AAEL007818	gene	272473958	272474917
100221133	AAEL008138	VectorBase	Aedes aegypti	AaeABCG3	We have identified and characterized Aedes aegypti ABC transporter genes. A unique name was given to each gene such as AaeABCG3 was given to AAEL008138. 	22/10/2021 17:24	"Name/Product, Function, Expression"	Vikas	Kumar	The Pirbright Institute	543930043	unknown	FALSE	34578158	Delineating the Role of <i>Aedes aegypti</i> ABC Transporter Gene Family during Mosquito Development and Arboviral Infection via Transcriptome Analyses.	Pathogens 2021 Sep 02;10(9):-	Kumar et al.		https://doi.org/10.3390/pathogens10091127	VectorBase	54	aaegLVP_AGWG_primary_genome_RSRC	AaegL5	TRUE	genome		AAEL008138	gene	79113447	79286804
100219393	AAEL008620	VectorBase	Aedes aegypti	mJHBP	mJHBP is a juvenile hormone binding protein (mJHBP) which regulates the activation of innate immune defenses and hemocyte development	17/09/2021 14:18	Name/Product	Cornell University	Hixson	Cornell University	617598113	unknown	FALSE	31961911	A mosquito juvenile hormone binding protein (mJHBP) regulates the activation of innate immune defenses and hemocyte development.	PLoS Pathog 2020 Jan;16(1):e1008288	Kim et al.			VectorBase	54	aaegLVP_AGWG_primary_genome_RSRC	AaegL5	TRUE	genome		AAEL008620	gene	80565217	80567110
100225783	AAEL009510	VectorBase	Aedes aegypti	AeGfat-1	AeGfat-1	21/03/2022 21:27		Cornell University	Hixson	Cornell University	617598113	unknown	FALSE	16360944	Regulatory mechanisms of chitin biosynthesis and roles of chitin in peritrophic matrix formation in the midgut of adult Aedes aegypti.	Insect Biochem Mol Biol 2006 Jan;36(1):1-9	Kato et al.			VectorBase	56	aaegLVP_AGWG_primary_genome_RSRC	AaegL5	TRUE	genome		AAEL009510	gene	345007024	345010930
100208203	AAEL012437	VectorBase	Aedes aegypti	veneno	Veneno associates with Ago3; has a proposed function in the assembly of a multi-protein complex for ping-pong dependent piRNA production from viral RNA.	17/12/2020 02:30	"Name/Product, Function"	Cornell University	Hixson	Cornell University	617598113	unknown	FALSE	30566680	The Tudor protein Veneno assembles the ping-pong amplification complex that produces viral piRNAs in Aedes mosquitoes.	Nucleic Acids Res 2019 Mar 18;47(5):2546-2559	Joosten et al.		10.1093/nar/gky1266	VectorBase	49	aaegLVP_AGWG_primary_genome_RSRC	AaegL5	FALSE	genome		AAEL012437	gene	212918648	212993075
100208193	AAEL013721	VectorBase	Aedes aegypti	loqs2	Interacts with Loquacious and r2d2 and is required to control systemic replication of DENV and Zika virus	16/12/2020 23:27	"Name/Product, Function"	Cornell University	Hixson	Cornell University	617598113	unknown	FALSE	30374169	Control of dengue virus in the midgut of Aedes aegypti by ectopic expression of the dsRNA-binding protein Loqs2.	Nat Microbiol 2018 Dec;3(12):1385-1393	Olmo et al.		10.1038/s41564-018-0268-6	VectorBase	49	aaegLVP_AGWG_primary_genome_RSRC	AaegL5	TRUE	genome		AAEL013721	gene	220151719	220184162
100202370	AAEL014843	VectorBase	Aedes aegypti	hsp83 gene promoter drives strong expression	hsp83 gene promoter drives strong expression	24/10/2021 23:54	"Name/Product, Function"	Samuel	Rund	VectorBase	412685553	unknown	FALSE	34302473	The Aedes aegypti (Diptera: Culicidae) hsp83 Gene Promoter Drives Strong Ubiquitous DsRed and ZsGreen Marker Expression in Transgenic Mosquitoes.	J Med Entomol 2021 Nov 09;58(6):2533-2537	Webster et al.		10.1093/jme/tjab128	VectorBase	54	aaegLVP_AGWG_primary_genome_RSRC	AaegL5	TRUE	genome		AAEL014843	gene	104793256	104796860
100215343	ACA1_028650	AmoebaDB	Acanthamoeba castellanii	"Peroxisomal biogenesis factor 19 (peroxin 19) protein, putative"	This putative peroxin 19 (Pex19) sequence was also identified as such by our comparative genomic analyses (no experimental evidence).	04/06/2021 20:12	Name/Product	M	GL	UADY	765647403	unknown	FALSE	32602891	"Ultrastructural, Cytochemical, and Comparative Genomic Evidence of Peroxisomes in Three Genera of Pathogenic Free-Living Amoebae, Including the First Morphological Data for the Presence of This Organelle in Heteroloboseans."	Genome Biol Evol 2020 Oct 01;12(10):1734-1750	Gonz&#xe1;lez-Robles et al.		10.1093/gbe/evaa129	AmoebaDB	52	acasNeff_primary_genome_RSRC	19/03/2015	TRUE	genome		ACA1_028650	gene	614	2083
100215323	ACA1_053820	AmoebaDB	Acanthamoeba castellanii	"Peroxisomal biogenesis factor 14 (peroxin 14) protein, putative"	This putative peroxin 14 (Pex14) sequence was also identified as such by our comparative genomic analyses (no experimental evidence).	04/06/2021 20:09	Name/Product	M	GL	UADY	765647403	unknown	FALSE	32602891	"Ultrastructural, Cytochemical, and Comparative Genomic Evidence of Peroxisomes in Three Genera of Pathogenic Free-Living Amoebae, Including the First Morphological Data for the Presence of This Organelle in Heteroloboseans."	Genome Biol Evol 2020 Oct 01;12(10):1734-1750	Gonz&#xe1;lez-Robles et al.		10.1093/gbe/evaa129	AmoebaDB	52	acasNeff_primary_genome_RSRC	19/03/2015	FALSE	genome		ACA1_053820	gene	330429	333003
