gene_ID,pmid,host_db,has_summary,has_PD
Tb6.NT.66,20838601,TriTrypDB,,
Tb7.NT.10,20838601,TriTrypDB,,
Tb7.NT.17,20838601,TriTrypDB,,
Tb7.NT.24,20838601,TriTrypDB,,
Tb7.NT.53,20838601,TriTrypDB,,
Tb7.NT.62,20838601,TriTrypDB,,
Tb7.NT.76,20838601,TriTrypDB,,
Tb8.NT.11,20838601,TriTrypDB,,
Tb8.NT.128,20838601,TriTrypDB,,
Tb8.NT.129,20838601,TriTrypDB,,
Tb8.NT.13,20838601,TriTrypDB,,
Tb8.NT.138,20838601,TriTrypDB,,
Tb8.NT.18,20838601,TriTrypDB,,
Tb8.NT.41,20838601,TriTrypDB,,
Tb8.NT.42,20838601,TriTrypDB,,
Tb8.NT.8,20838601,TriTrypDB,,
Tb8.NT.9,20838601,TriTrypDB,,
Tb8.NT.97,20838601,TriTrypDB,,
Tb8.NT.99,20838601,TriTrypDB,,
Tb9.NT.32,20838601,TriTrypDB,,
Tb9.NT.34,20838601,TriTrypDB,,
Tb9.NT.6,20838601,TriTrypDB,,
Tb9.NT.68,20838601,TriTrypDB,,
Tb927.1.1025,19105172,TriTrypDB,,
Tb927.1.1025,24552149,TriTrypDB,,
Tb927.1.1030,29931198,TriTrypDB,,
Tb927.1.1080,19386623,TriTrypDB,,
Tb927.1.1100,28049148,TriTrypDB,,
Tb927.1.1160,21474072,TriTrypDB,,
Tb927.1.1160,32679035,TriTrypDB,,
Tb927.1.1170,16246139,TriTrypDB,,
Tb927.1.1200,18364347,TriTrypDB,,
Tb927.1.1240,20382188,TriTrypDB,,
Tb927.1.1330,20403364,TriTrypDB,,
Tb927.1.1350,16481395,TriTrypDB,,
Tb927.1.1530,24453978,TriTrypDB,,
Tb927.1.1690,12649499,TriTrypDB,,
Tb927.1.1690,16285922,TriTrypDB,,
Tb927.1.1720,20614016,TriTrypDB,,
Tb927.1.1730,37410820,TriTrypDB,,
Tb927.1.1730,25225332,TriTrypDB,,
Tb927.1.1770,20826822,TriTrypDB,,
Tb927.1.1930,24453978,TriTrypDB,,
Tb927.1.1930,20382188,TriTrypDB,,
Tb927.1.2100,19766148,TriTrypDB,,
Tb927.1.2110,19766148,TriTrypDB,,
Tb927.1.2120,19766148,TriTrypDB,,
Tb927.1.2150,16315106,TriTrypDB,,
Tb927.1.2150,19766148,TriTrypDB,,
Tb927.1.2160,16315106,TriTrypDB,,
Tb927.1.2160,19766148,TriTrypDB,,
Tb927.1.2230,16315106,TriTrypDB,,
Tb927.1.2260,16315106,TriTrypDB,,
Tb927.1.2320,31536395,TriTrypDB,,
Tb927.1.2570,11377739,TriTrypDB,,
Tb927.1.2580,12821657,TriTrypDB,,
