pmid,gene_id,paper_available,alias_in_text,Summary,generatePDs,verifyPDs
16998185,PY17X_1347100,True,True,True,True,True
16998185,PBANKA_1342400,True,True,True,True,True
16998185,PGAL8A_00150000,True,True,True,True,True
16998185,PCHAS_1347000,True,True,True,True,True
16998185,PRCDC_0619900,True,True,True,True,True
16998185,PKNH_1201400,True,True,True,True,True
16998185,PY17X_1223300,True,True,True,True,True
16998185,PVP01_0109900,True,True,True,True,True
16998185,PocGH01_12035200,True,True,True,True,True
16998185,PRELSG_1126800,True,True,True,True,True
16998185,PBANKA_1220100,True,True,True,True,True
16998185,PRCDC_0707800,True,True,True,True,True
16998185,PKNH_1128700,True,True,True,True,True
16998185,PRELSG_0107700,True,True,True,True,True
16998185,PRCDC_1326200,True,True,True,True,True
16998185,PF3D7_0621500,True,True,True,True,True
16998185,PF3D7_1327200,True,True,True,True,True
16998185,PmUG01_12037300,True,True,True,True,True
16998185,PGAL8A_00049800,True,True,True,True,True
16998185,PF3D7_0709600,True,True,True,True,True
16998185,PCHAS_1220800,True,True,True,True,True
16998185,PRELSG_1200800,True,True,True,True,True
16998185,PY17X_1121800,True,True,True,True,True
16998185,PBANKA_1120500,True,True,True,True,True
16998185,PGAL8A_00239400,True,True,True,True,True
17040128,PY17X_1107600,True,True,True,True,True
17040128,PF3D7_0618600,True,True,True,True,True
17040128,PF3D7_0506900,True,True,True,True,True
17040128,PF3D7_1411200,True,True,True,True,True
17040128,PF3D7_0828000,True,True,True,True,True
17040128,PF3D7_0515100,True,True,True,True,True
17040128,PF3D7_1114100,True,True,True,True,True
17581118,PVP01_0210400,True,True,True,True,True
17581118,PRELSG_0212800,True,True,True,True,True
17581118,PocGH01_02017600,True,True,True,True,True
17581118,PRCDC_0102200,True,True,True,True,True
17581118,PKNH_0209200,True,True,True,True,True
17581118,PF3D7_0104300,True,True,True,True,True
17581118,PBANKA_0208800,True,True,True,True,True
17581118,PGAL8A_00100400,True,True,True,True,True
17581118,PmUG01_02019300,True,True,True,True,True
17581118,PCHAS_0207200,True,True,True,True,True
17612404,PBANKA_1307400,True,True,True,True,True
17612404,PCHAS_0920500,True,True,True,True,True
17612404,PBANKA_0919600,True,True,True,True,True
17612404,PF3D7_1308900,True,True,True,True,True
17612404,PVP01_0929400,True,True,True,True,True
17612404,PRELSG_0803900,True,True,True,True,True
17612404,PF3D7_1032100,True,True,True,True,True
17612404,PmUG01_08021900,True,True,True,True,True
17612404,PGAL8A_00382300,True,True,True,True,True
17612404,PRCDC_1005500,True,True,True,True,True
17612404,PRELSG_0921200,True,True,True,True,True
17612404,PRELSG_0925800,True,True,True,True,True
17612404,PY17X_1311200,True,True,True,True,True
17612404,PocGH01_09035000,True,True,True,True,True
17612404,PVP01_0805800,True,True,True,True,True
17612404,PmUG01_09037900,True,True,True,True,True
17612404,PF3D7_1006100,True,True,True,True,True
17612404,PBANKA_1407400,True,True,True,True,True
