"gene_ID","pmid","has_summary","has_PD","host_db"
"TGME49_201760",26680740,TRUE,NA,"ToxoDB"
"TGME49_232130",26680740,TRUE,NA,"ToxoDB"
"Afu6g12110",26701311,TRUE,NA,"FungiDB"
"Afu6g12580",26701311,TRUE,NA,"FungiDB"
"TGME49_250840",26760042,TRUE,NA,"ToxoDB"
"AN1156",26811422,TRUE,NA,"FungiDB"
"TGME49_307840",26838719,TRUE,NA,"ToxoDB"
"TGME49_254470",26838724,TRUE,NA,"ToxoDB"
"PF3D7_0113700",26845441,TRUE,NA,"PlasmoDB"
"PKNH_1347900",26847346,TRUE,NA,"PlasmoDB"
"PKNH_1253700",26862473,TRUE,NA,"PlasmoDB"
"PVP01_1207600",26862473,TRUE,NA,"PlasmoDB"
"TGME49_279100",26920761,TRUE,NA,"ToxoDB"
"NCU07191",27077707,TRUE,NA,"FungiDB"
"NCU07192",27077707,TRUE,NA,"FungiDB"
"PF3D7_0512900",27129434,TRUE,NA,"PlasmoDB"
"CNAG_06465",27165800,TRUE,NA,"FungiDB"
"PVP01_0701200",27244695,TRUE,NA,"PlasmoDB"
"TGME49_286470",27247232,TRUE,NA,"ToxoDB"
"TGME49_226030",27247232,TRUE,NA,"ToxoDB"
"CNAG_06327",27303693,TRUE,NA,"FungiDB"
"TGME49_243930",27303694,TRUE,NA,"ToxoDB"
"TGME49_210370",27303719,TRUE,NA,"ToxoDB"
"CNAG_01978",27303728,TRUE,NA,"FungiDB"
"NCU07523",27381444,TRUE,NA,"FungiDB"
"PF3D7_1012200",27383149,TRUE,NA,"PlasmoDB"
"PCHAS_0306100",27427910,TRUE,NA,"PlasmoDB"
"PBANKA_0303900",27427910,TRUE,NA,"PlasmoDB"
"TGME49_270910",27490259,TRUE,NA,"ToxoDB"
"PBANKA_1326400",27551151,TRUE,NA,"PlasmoDB"
"PVP01_0102300",27555313,TRUE,NA,"PlasmoDB"
"PVP01_1107900",27658588,TRUE,NA,"PlasmoDB"
